lower,upper,fortotals
01PLANT.Rubus fruticosus,02FV.Sepsis flavimana,3.94E+01
01PLANT.Rubus fruticosus,02FV.Siphona geniculata,1.49E+02
01PLANT.Rubus fruticosus,02FV.Sphaerophoria sp,1.97E+01
01PLANT.Rubus fruticosus,02FV.Syritta pipiens,1.97E+01
01PLANT.Rubus fruticosus,02FV.Trybliographa erythrocera,3.94E+01
01PLANT.Senacio jacobaea,02FV.Botanophila fugax,1.31E+01
01PLANT.Senacio jacobaea,02FV.Calliphora vomitoria,6.53E+00
01PLANT.Senacio jacobaea,02FV.Eriothrix rufomaculata,6.53E+00
01PLANT.Senacio jacobaea,02FV.Eristalis arbustorum,1.31E+01
01PLANT.Senacio jacobaea,02FV.Eristalis pertinax,1.31E+01
01PLANT.Senacio jacobaea,02FV.Eristalis tenax,1.74E+01
01PLANT.Senacio jacobaea,02FV.Eupeodes corollae,6.53E+00
01PLANT.Senacio jacobaea,02FV.Herina longistylata,6.53E+00
01PLANT.Senacio jacobaea,02FV.Lucilia caesar,6.53E+00
01PLANT.Senacio jacobaea,02FV.Lucilia richardsi,6.53E+00
01PLANT.Senacio jacobaea,02FV.Lucilia sericata,6.53E+00
01PLANT.Senacio jacobaea,02FV.Melinda viridicyanea,1.31E+01
01PLANT.Senacio jacobaea,02FV.Neomyia cornicina,1.31E+01
01PLANT.Senacio jacobaea,02FV.Neomyia viridescens,6.53E+00
01PLANT.Senacio jacobaea,02FV.Platycheirus albimanus,6.53E+00
01PLANT.Senacio jacobaea,02FV.Psocoptera sp,6.53E+00
01PLANT.Senacio jacobaea,02FV.Pyronia tithonus,1.96E+01
01PLANT.Senacio jacobaea,02FV.Sicus ferrugineus,6.53E+00
01PLANT.Senacio jacobaea,02FV.Sphaerophoria rueppellii,6.53E+00
01PLANT.Senacio jacobaea,02FV.Sphaerophoria scripta,6.53E+00
01PLANT.Senacio jacobaea,02FV.Sphaerophoria sp,5.88E+01
01PLANT.Senacio jacobaea,02FV.Syritta pipiens,1.31E+01
01PLANT.Silene dioica,02FV.Bicellaria vana,1.97E+01
01PLANT.Silene dioica,02FV.Bicellaria varia,3.94E+01
01PLANT.Silene dioica,02FV.Bracon sp,1.97E+01
01PLANT.Silene dioica,02FV.Empis livida,3.94E+01
01PLANT.Silene dioica,02FV.Melanostoma scalare,1.97E+01
01PLANT.Silene dioica,02FV.Ophiomyia sp,3.94E+01
01PLANT.Silene dioica,02FV.Pipiza noctiluca,1.97E+01
01PLANT.Silene dioica,02FV.Platycheirus albimanus,1.97E+01
01PLANT.Sinapis arvensis,02FV.Andrena dorsata,7.48E+02
01PLANT.Sinapis arvensis,02FV.Cantharis nigra,1.80E+03
01PLANT.Sinapis arvensis,02FV.Centrorhynchus obstrictus,1.80E+03
01PLANT.Sinapis arvensis,02FV.Cephus pygmaeus,7.48E+02
01PLANT.Sinapis arvensis,02FV.Cetema elongata,7.20E+02
01PLANT.Sinapis arvensis,02FV.Chrysotus sp,7.20E+02
01PLANT.Sinapis arvensis,02FV.Delia sp,7.23E+03
01PLANT.Sinapis arvensis,02FV.Diospilus capito,7.20E+02
01PLANT.Sinapis arvensis,02FV.Empis livida,1.41E+04
01PLANT.Sinapis arvensis,02FV.Lonchoptera lutea,7.20E+02
01PLANT.Sinapis arvensis,02FV.Melanostoma mellinum,6.66E+02
01PLANT.Sinapis arvensis,02FV.Olibrus aeneus,1.80E+03
01PLANT.Sinapis arvensis,02FV.Oscinella frit,2.16E+03
01PLANT.Sinapis arvensis,02FV.Pegoplata aestiva or Adia cinerella,1.52E+03
01PLANT.Sinapis arvensis,02FV.Phradis morionellus,7.20E+02
01PLANT.Sinapis arvensis,02FV.Scathophaga stercoraria,6.66E+02
01PLANT.Sinapis arvensis,02FV.Scatopsidae sp,7.20E+02
01PLANT.Sinapis arvensis,02FV.Sphaerophoria scripta,1.11E+03
01PLANT.Sinapis arvensis,02FV.Tetramesa sp,7.48E+02
01PLANT.Sonchus asper/oleraceus,02FV.Apis mellifera,6.53E+00
01PLANT.Sonchus asper/oleraceus,02FV.Helophilus pendulus,7.48E+02
01PLANT.Sonchus asper/oleraceus,02FV.Pegoplata aestiva or Adia cinerella,1.35E+03
01PLANT.Sonchus asper/oleraceus,02FV.Sphaerophoria scripta,7.48E+02
01PLANT.Sonchus asper/oleraceus,02FV.Sphaerophoria sp,6.53E+00
01PLANT.Spergula arvensis,02FV.Empis nuntia,6.96E+02
01PLANT.Stachys sylvatica,02FV.Bombus hortorum,2.94E+02
01PLANT.Stellaria graminea,02FV.Empis livida,2.61E+01
01PLANT.Torilis japonica,02FV.Cheilosia pagana,4.97E+01
01PLANT.Torilis japonica,02FV.Cheilosia proxima,4.97E+01
01PLANT.Torilis japonica,02FV.Cheilosia proxima D,4.97E+01
01PLANT.Torilis japonica,02FV.Coenosia tigrina,4.97E+01
01PLANT.Torilis japonica,02FV.Copromyza similes,3.94E+01
01PLANT.Torilis japonica,02FV.Ectemnius cephalotes,4.97E+01
01PLANT.Torilis japonica,02FV.Episyrphus balteatus,1.39E+02
01PLANT.Torilis japonica,02FV.Melanostoma scalare,3.94E+01
01PLANT.Torilis japonica,02FV.Musca autumnalis,4.97E+01
01PLANT.Torilis japonica,02FV.Neoascia podagrica,5.25E+01
01PLANT.Torilis japonica,02FV.Neomyia cornicina,4.97E+01
01PLANT.Torilis japonica,02FV.Oscinella nitidissima,4.97E+01
01PLANT.Torilis japonica,02FV.Pegoplata infirma,4.97E+01
01PLANT.Torilis japonica,02FV.Plagiatrochus sp,3.94E+01
01PLANT.Torilis japonica,02FV.Platycheirus albimanus,1.29E+02
01PLANT.Torilis japonica,02FV.Platycheirus clypeatus,4.97E+01
01PLANT.Torilis japonica,02FV.Pollenia pediculata,4.97E+01
01PLANT.Torilis japonica,02FV.Rhagonycha fulva,9.94E+01
01PLANT.Torilis japonica,02FV.Rhinophora lepida,3.94E+01
01PLANT.Torilis japonica,02FV.Sepsis flavimana,3.94E+01
01PLANT.Torilis japonica,02FV.Sussaba cognata,3.94E+01
01PLANT.Trifolium pratense/repens,02FV.Alysiinae sp,4.76E+02
01PLANT.Trifolium pratense/repens,02FV.Anthomyia pluvialis,6.05E+02
01PLANT.Trifolium pratense/repens,02FV.Apis mellifera,3.65E+03
01PLANT.Trifolium pratense/repens,02FV.Aprostocetus sp,4.76E+02
01PLANT.Trifolium pratense/repens,02FV.Bombus hortorum,1.21E+03
01PLANT.Trifolium pratense/repens,02FV.Bombus lapidarius,1.19E+04
01PLANT.Trifolium pratense/repens,02FV.Bombus pascuorum,8.66E+03
01PLANT.Trifolium pratense/repens,02FV.Bombus pratorum,7.89E+02
01PLANT.Trifolium pratense/repens,02FV.Bombus terrestris,5.87E+03
01PLANT.Trifolium pratense/repens,02FV.Bombus vestalis,9.52E+02
01PLANT.Trifolium pratense/repens,02FV.Chrysotus sp,1.11E+03
01PLANT.Trifolium pratense/repens,02FV.Empis livida,2.41E+03
01PLANT.Trifolium pratense/repens,02FV.Eupeodes corollae,4.76E+02
01PLANT.Trifolium pratense/repens,02FV.Maniola jurtina,7.40E+02
01PLANT.Trifolium pratense/repens,02FV.Metasyrphus luniger,4.76E+02
01PLANT.Trifolium pratense/repens,02FV.Norellisoma spinimanum,1.90E+01
01PLANT.Trifolium pratense/repens,02FV.Oedemera nobilis,4.97E+01
01PLANT.Trifolium pratense/repens,02FV.Pegoplata aestiva or Adia cinerella,4.97E+01
01PLANT.Trifolium pratense/repens,02FV.Phyllobius virideaeris,8.33E+02
01PLANT.Trifolium pratense/repens,02FV.Platycheirus albimanus,1.97E+01
01PLANT.Trifolium pratense/repens,02FV.Platypalpus sp,2.22E+03
01PLANT.Trifolium pratense/repens,02FV.Pollenia amentaria,2.41E+03
01PLANT.Trifolium pratense/repens,02FV.Pollenia pediculata,9.94E+01
01PLANT.Trifolium pratense/repens,02FV.Sarcophaga carnaria,6.05E+02
01PLANT.Trifolium pratense/repens,02FV.Scaptomyza pallida,2.41E+03
01PLANT.Trifolium pratense/repens,02FV.Scathophaga stercoraria,4.29E+03
01PLANT.Trifolium pratense/repens,02FV.Scatopsidae sp,1.11E+03
01PLANT.Trifolium pratense/repens,02FV.Sitona puncticollis,2.41E+03
01PLANT.Trifolium pratense/repens,02FV.Syrphus ribesii,1.90E+01
01PLANT.Veronica chamaedrys,02FV.Hercostomus parvilamellatus,7.46E+01
01PLANT.Veronica persica,02FV.Longitarsus sp,7.20E+02
01PLANT.Veronica persica,02FV.Pegoplata aestiva or Adia cinerella,1.15E+03
01PLANT.Viburnum lanatum,02FV.Empis livida,8.71E+00
01PLANT.Viburnum lanatum,02FV.Pollenia pediculata,6.53E+00
01PLANT.Vicia hirsute,02FV.Cantharis nigra,1.47E+03
01PLANT.Vicia hirsute,02FV.Empis livida,2.99E+03
01PLANT.Vicia hirsute,02FV.Fannia sp,7.48E+02
01PLANT.Vicia sativa,02FV.Bombus pascuorum,4.97E+01
01PLANT.Vicia sativa,02FV.Empis livida,9.94E+01
01PLANT.Vicia sepium,02FV.Syritta pipiens,9.94E+01
01PLANT.× Triticosecale ,03APH.Sitobion avenae,2.02E+06
01PLANT.Aphanes arvensis,03APH.Myzus persicae,3.74E+04
01PLANT.Avena sativa winter-sown,03APH.Metopolophium dihrodum,6.35E+05
01PLANT.Avena sativa winter-sown,03APH.Sitobion avenae,8.31E+04
01PLANT.Cerastium fontanum,03APH.Myzus persicae,9.82E+04
01PLANT.Cirsium arvense,03APH.Capitophorus elaeagnii,4.04E+05
01PLANT.Cirsium arvense,03APH.Uroleucon aeneum,9.67E+07
01PLANT.Cirsium arvense,03APH.Uroleucon cirsii,6.66E+07
01PLANT.Cirsium vulgare,03APH.Hyperomyzus lactucae,8.29E+05
01PLANT.Corylus avellana,03APH.Myzocallis coryli,1.60E+03
01PLANT.Crataegus monogyna,03APH.Dysaphis species 1,1.45E+02
01PLANT.Euonymus europaeus,03APH.Aphis fabae,7.26E+02
01PLANT.Galium aparine,03APH.Aphis galiiscabri,4.43E+05
01PLANT.Heracleum sphondylium,03APH.Cavariella aegopodii,1.70E+06
01PLANT.Lamiastrum galeobdolon,03APH.Aphid species 1,2.49E+03
01PLANT.Matricaria discoidea,03APH.Brachycaudus helichrysii,6.05E+05
01PLANT.Matricaria recutita,03APH.Brachycaudus helichrysii,1.15E+08
01PLANT.Myosotis arvensis,03APH.Brachycaudus helichrysii,5.37E+06
01PLANT.Plantago sp.,03APH.Brachycaudus helichrysii,2.38E+04
01PLANT.Poaceae,03APH.Cavariella aegopodii,8.22E+03
01PLANT.Poaceae,03APH.Metopolophium dihrodum,5.16E+04
01PLANT.Poaceae,03APH.Sipha maydis,2.99E+07
01PLANT.Poaceae,03APH.Sitobion avenae,2.21E+07
01PLANT.Prunus spinosa,03APH.Phorodon humuli,1.13E+04
01PLANT.Ranunculus repens,03APH.Tubaphis ranunculina,1.21E+06
01PLANT.Rosa sp.,03APH.Sitobion fragariae,3.45E+04
01PLANT.Rubus fruticosus,03APH.Macrosiphum funestum,1.05E+05
01PLANT.Rumex sp.,03APH.Aphis rumicis,9.20E+06
01PLANT.Scrophularia auriculata,03APH.Myzus persicae,2.76E+03
01PLANT.Sinapis arvensis,03APH.Lipaphys erysimi,2.01E+06
01PLANT.Sonchus asper/oleraceus,03APH.Hyperomyzus lactucae,1.23E+06
01PLANT.Sonchus asper/oleraceus,03APH.Uroleucon sonchi,3.23E+05
01PLANT.Stachys sylvatica,03APH.Cryptomyzus korschelti,6.63E+03
01PLANT.Trifolium pratense/repens,03APH.Acyrthosiphon pisum,2.98E+05
01PLANT.Trifolium pratense/repens,03APH.Therioaphis trifoli,6.05E+04
01PLANT.Triticum aestivum,03APH.Sitobion avenae,1.53E+07
01PLANT.Urtica dioica,03APH.Aphis urticae,5.25E+03
01PLANT.Urtica dioica,03APH.Microlophium carnosum,1.43E+05
01PLANT.Veronica arvensis,03APH.Nasonvoia ribisnigri,1.95E+05
01PLANT.× Triticosecale ,04PRIMARYPARA.Aphidius picipes?,1.29E+04
01PLANT.× Triticosecale ,04PRIMARYPARA.Ephedrus plagiator,8.57E+03
01PLANT.× Triticosecale ,04PRIMARYPARA.Praon volucre,8.57E+03
01PLANT.Avena sativa winter-sown,04PRIMARYPARA.Aphidius matricariae,1.25E+04
01PLANT.Avena sativa winter-sown,04PRIMARYPARA.Aphidius picipes?,1.25E+04
01PLANT.Avena sativa winter-sown,04PRIMARYPARA.Aphidius rhopalosiphi?,2.08E+04
01PLANT.Avena sativa winter-sown,04PRIMARYPARA.Ephedrus plagiator,8.31E+03
01PLANT.Lamiastrum galeobdolon,04PRIMARYPARA.Praon exoletum?,8.29E+02
01PLANT.Matricaria discoidea,04PRIMARYPARA.Aphidius matricariae,5.52E+02
01PLANT.Matricaria discoidea,04PRIMARYPARA.Aphidius rhopalosiphi?,2.21E+03
01PLANT.Matricaria recutita,04PRIMARYPARA.Aphidius matricariae,1.25E+04
01PLANT.Poaceae,04PRIMARYPARA.Aphidius ervi,6.76E+04
01PLANT.Poaceae,04PRIMARYPARA.Aphidius funebris,5.52E+02
01PLANT.Poaceae,04PRIMARYPARA.Aphidius picipes?,2.51E+04
01PLANT.Poaceae,04PRIMARYPARA.Aphidius rhopalosiphi?,2.38E+03
01PLANT.Poaceae,04PRIMARYPARA.Ephedrus plagiator,5.04E+04
01PLANT.Poaceae,04PRIMARYPARA.Praon volucre,2.46E+04
01PLANT.Ranunculus repens,04PRIMARYPARA.Praon exoletum?,8.57E+03
01PLANT.Ranunculus repens,04PRIMARYPARA.Praon sp nr flavinode,1.23E+04
01PLANT.Ranunculus repens,04PRIMARYPARA.Praon volucre,2.46E+04
01PLANT.Rubus fruticosus,04PRIMARYPARA.Aphidius ervi,3.28E+02
01PLANT.Sonchus asper/oleraceus,04PRIMARYPARA.Aphidius ervi,1.01E+04
01PLANT.Trifolium pratense/repens,04PRIMARYPARA.Aphidius ervi,9.46E+04
01PLANT.Trifolium pratense/repens,04PRIMARYPARA.Aphidius rhopalosiphi?,6.72E+03
01PLANT.Trifolium pratense/repens,04PRIMARYPARA.Praon dorsale?,6.72E+03
01PLANT.Triticum aestivum,04PRIMARYPARA.Aphidius ervi,9.82E+04
01PLANT.Triticum aestivum,04PRIMARYPARA.Aphidius picipes?,2.46E+04
01PLANT.Triticum aestivum,04PRIMARYPARA.Aphidius rhopalosiphi?,7.36E+04
01PLANT.Triticum aestivum,04PRIMARYPARA.Ephedrus plagiator,4.91E+04
01PLANT.Triticum aestivum,04PRIMARYPARA.Praon volucre,7.36E+04
01PLANT.Urtica dioica,04PRIMARYPARA.Aphidius ervi,1.16E+03
01PLANT.Urtica dioica,04PRIMARYPARA.Trioxys B,1.66E+03
01PLANT.Avena sativa winter-sown,05SECONDARYPARA.Alloxysta victrix,8.31E+03
01PLANT.Avena sativa winter-sown,05SECONDARYPARA.Asaphes suspensus,1.25E+04
01PLANT.Cirsium arvense,05SECONDARYPARA.Alloxysta victrix,5.52E+02
01PLANT.Crataegus monogyna,05SECONDARYPARA.Alloxysta victrix,1.45E+02
01PLANT.Lamiastrum galeobdolon,05SECONDARYPARA.Dendrocerus aphidum,8.29E+02
01PLANT.Matricaria discoidea,05SECONDARYPARA.Asaphes suspensus,3.09E+04
01PLANT.Matricaria discoidea,05SECONDARYPARA.Dendrocerus aphidum,1.66E+03
01PLANT.Matricaria discoidea,05SECONDARYPARA.Dendrocerus carpenteri,5.52E+02
01PLANT.Myosotis arvensis,05SECONDARYPARA.Alloxysta victrix,8.31E+03
01PLANT.Myosotis arvensis,05SECONDARYPARA.Asaphes suspensus,5.81E+04
01PLANT.Myosotis arvensis,05SECONDARYPARA.Dendrocerus aphidum,8.31E+03
01PLANT.Poaceae,05SECONDARYPARA.Alloxysta victrix,5.23E+04
01PLANT.Poaceae,05SECONDARYPARA.Asaphes suspensus,9.90E+03
01PLANT.Poaceae,05SECONDARYPARA.Asaphes vulgaris,9.28E+03
01PLANT.Poaceae,05SECONDARYPARA.Coruna clavata,7.26E+01
01PLANT.Poaceae,05SECONDARYPARA.Dendrocerus aphidum,3.99E+04
01PLANT.Poaceae,05SECONDARYPARA.Dendrocerus carpenteri,2.24E+03
01PLANT.Poaceae,05SECONDARYPARA.Pachyneuron sp,5.52E+02
01PLANT.Prunus spinosa,05SECONDARYPARA.Asaphes vulgaris,3.28E+02
01PLANT.Prunus spinosa,05SECONDARYPARA.Dendrocerus carpenteri,2.19E+02
01PLANT.Ranunculus repens,05SECONDARYPARA.Alloxysta victrix,5.29E+03
01PLANT.Rumex sp.,05SECONDARYPARA.Dendrocerus carpenteri,1.08E+05
01PLANT.Trifolium pratense/repens,05SECONDARYPARA.Alloxysta victrix,6.72E+04
01PLANT.Trifolium pratense/repens,05SECONDARYPARA.Asaphes suspensus,8.22E+04
01PLANT.Trifolium pratense/repens,05SECONDARYPARA.Asaphes vulgaris,2.69E+04
01PLANT.Trifolium pratense/repens,05SECONDARYPARA.Dendrocerus carpenteri,6.72E+03
01PLANT.Triticum aestivum,05SECONDARYPARA.Alloxysta victrix,1.39E+05
01PLANT.Triticum aestivum,05SECONDARYPARA.Asaphes suspensus,2.13E+05
01PLANT.Triticum aestivum,05SECONDARYPARA.Asaphes vulgaris,4.91E+04
01PLANT.Triticum aestivum,05SECONDARYPARA.Dendrocerus carpenteri,2.95E+05
01PLANT.Urtica dioica,05SECONDARYPARA.Alloxysta victrix,8.75E+02
01PLANT.× Triticosecale ,06MINERPARA.Diglyphus isaea,3.87E+03
01PLANT.× Triticosecale ,06MINERPARA.Seladerma diffine,3.87E+03
01PLANT.Acer campestre,06MINERPARA.Achrysocharoides acerianus,1.13E+04
01PLANT.Acer campestre,06MINERPARA.Microgastrinae sp,5.65E+03
01PLANT.Anthriscus sylvestris,06MINERPARA.Dacnusa maculipes/confinis,6.57E+02
01PLANT.Anthriscus sylvestris,06MINERPARA.Exotela cyclogaster,2.19E+02
01PLANT.Anthriscus sylvestris,06MINERPARA.Miscogaster maculata,6.57E+02
01PLANT.Arctium minus,06MINERPARA.Anagrus sp A,8.29E+02
01PLANT.Arctium minus,06MINERPARA.Chrysocharis viridis,2.49E+03
01PLANT.Avena sativa spring-sown,06MINERPARA.Dacnusa maculipes/confinis,1.60E+04
01PLANT.Avena sativa spring-sown,06MINERPARA.Diglyphus isaea,2.80E+04
01PLANT.Bellis perennis,06MINERPARA.Desmiostoma parvulum,4.93E+04
01PLANT.Cerastium fontanum,06MINERPARA.Pnigalio soemius,1.93E+04
01PLANT.Chaerophyllum temulum,06MINERPARA.Diglyphus isaea,8.29E+02
01PLANT.Cirsium arvense,06MINERPARA.Alysiinae sp,3.87E+03
01PLANT.Cirsium arvense,06MINERPARA.Anagrus sp B,1.90E+04
01PLANT.Cirsium arvense,06MINERPARA.Asaphes suspensus,6.39E+03
01PLANT.Cirsium arvense,06MINERPARA.Campoplex sp,9.68E+01
01PLANT.Cirsium arvense,06MINERPARA.Chelonus sp,1.54E+03
01PLANT.Cirsium arvense,06MINERPARA.Chelonus sp aff rimatus,6.57E+02
01PLANT.Cirsium arvense,06MINERPARA.Chrysocharis orbicularis,4.09E+03
01PLANT.Cirsium arvense,06MINERPARA.Chrysocharis pubicornis,2.46E+04
01PLANT.Cirsium arvense,06MINERPARA.Chrysocharis viridis,6.61E+04
01PLANT.Cirsium arvense,06MINERPARA.Cyrtogaster vulgaris,7.02E+03
01PLANT.Cirsium arvense,06MINERPARA.Dacnusa areolaris,1.96E+04
01PLANT.Cirsium arvense,06MINERPARA.Dacnusa maculipes/confinis,1.90E+04
01PLANT.Cirsium arvense,06MINERPARA.Dacnusa tarsalis,3.55E+05
01PLANT.Cirsium arvense,06MINERPARA.Diglyphus isaea,4.10E+05
01PLANT.Cirsium arvense,06MINERPARA.Exotela spinifer,1.91E+03
01PLANT.Cirsium arvense,06MINERPARA.Forsterella sp,2.20E+03
01PLANT.Cirsium arvense,06MINERPARA.Gelis bicolor,1.54E+03
01PLANT.Cirsium arvense,06MINERPARA.Hemiptarsenus dropion,9.68E+01
01PLANT.Cirsium arvense,06MINERPARA.Hemiptarsenus unguicellus,6.16E+03
01PLANT.Cirsium arvense,06MINERPARA.Miscogaster maculata,9.68E+01
01PLANT.Cirsium arvense,06MINERPARA.Opius sensu stricto lugens,1.34E+04
01PLANT.Cirsium arvense,06MINERPARA.Phaedrotoma exigua,6.39E+03
01PLANT.Cirsium arvense,06MINERPARA.Pnigalio soemius,7.26E+01
01PLANT.Cirsium arvense,06MINERPARA.Seladerma diffine,6.79E+05
01PLANT.Cirsium arvense,06MINERPARA.Seladerma tarsale,2.73E+04
01PLANT.Cirsium vulgare,06MINERPARA.Dacnusa maculipes/confinis,4.38E+02
01PLANT.Cirsium vulgare,06MINERPARA.Dacnusa tarsalis,6.55E+02
01PLANT.Cirsium vulgare,06MINERPARA.Opiinae sp,5.52E+02
01PLANT.Cirsium vulgare,06MINERPARA.Seladerma diffine,5.52E+02
01PLANT.Corylus avellana,06MINERPARA.Colastes braconius,8.29E+02
01PLANT.Crataegus monogyna,06MINERPARA.Achrysocharoides atys,1.53E+03
01PLANT.Crataegus monogyna,06MINERPARA.Chrysocharis pentheus,1.94E+02
01PLANT.Crataegus monogyna,06MINERPARA.Pnigalio soemius,9.68E+01
01PLANT.Crataegus monogyna,06MINERPARA.Sympiesis sericeicornis,8.29E+02
01PLANT.Dipsacus fullonum,06MINERPARA.Anagrus sp C,5.52E+02
01PLANT.Dipsacus fullonum,06MINERPARA.Chorebus tanis,5.52E+02
01PLANT.Glechoma hederacea,06MINERPARA.Colastes braconius,2.19E+02
01PLANT.Heracleum sphondylium,06MINERPARA.Aphanogmus sp,5.52E+02
01PLANT.Heracleum sphondylium,06MINERPARA.Apodesmia ocellata,7.71E+02
01PLANT.Heracleum sphondylium,06MINERPARA.Chrysocharis pentheus,5.52E+02
01PLANT.Heracleum sphondylium,06MINERPARA.Chrysocharis viridis,6.72E+03
01PLANT.Heracleum sphondylium,06MINERPARA.Colastes braconius,2.92E+02
01PLANT.Heracleum sphondylium,06MINERPARA.Dacnusa laevipectus,9.20E+03
01PLANT.Heracleum sphondylium,06MINERPARA.Dacnusa maculipes/confinis,1.66E+03
01PLANT.Heracleum sphondylium,06MINERPARA.Diglyphus isaea,1.63E+04
01PLANT.Heracleum sphondylium,06MINERPARA.Exotela cyclogaster,5.11E+02
01PLANT.Heracleum sphondylium,06MINERPARA.Synopeas rhanis,5.52E+02
01PLANT.Hordeum vulgare,06MINERPARA.Cirrospilus vittatus,4.00E+03
01PLANT.Hordeum vulgare,06MINERPARA.Dacnusa maculipes/confinis,4.00E+03
01PLANT.Hordeum vulgare,06MINERPARA.Diglyphus isaea,1.60E+04
01PLANT.Hordeum vulgare,06MINERPARA.Hemiptarsenus unguicellus,8.00E+03
01PLANT.Lonicera periclymenum,06MINERPARA.Diglyphus isaea,2.19E+02
01PLANT.Medicago sativa ssp. sativa,06MINERPARA.Chrysocharis pentheus,1.90E+04
01PLANT.Medicago sativa ssp. sativa,06MINERPARA.Dacnusa maculipes/confinis,6.33E+03
01PLANT.Medicago sativa ssp. sativa,06MINERPARA.Diglyphus isaea,1.39E+05
01PLANT.Medicago sativa ssp. sativa,06MINERPARA.Pnigalio soemius,6.33E+03
01PLANT.Poaceae,06MINERPARA.Alysiinae sp,1.48E+04
01PLANT.Poaceae,06MINERPARA.Apodesmia irregularis,3.31E+03
01PLANT.Poaceae,06MINERPARA.Apodesmia similis,1.24E+04
01PLANT.Poaceae,06MINERPARA.Bracon sp,1.11E+03
01PLANT.Poaceae,06MINERPARA.Chorebus A,2.19E+02
01PLANT.Poaceae,06MINERPARA.Chorebus aphantus,9.95E+04
01PLANT.Poaceae,06MINERPARA.Chorebus B,4.70E+03
01PLANT.Poaceae,06MINERPARA.Chorebus C,5.52E+02
01PLANT.Poaceae,06MINERPARA.Chorebus E,3.31E+03
01PLANT.Poaceae,06MINERPARA.Chrysocharis orbicularis,3.31E+03
01PLANT.Poaceae,06MINERPARA.Chrysocharis pentheus,7.71E+03
01PLANT.Poaceae,06MINERPARA.Chrysocharis polyzo,1.77E+03
01PLANT.Poaceae,06MINERPARA.Chrysocharis pubicornis,6.58E+04
01PLANT.Poaceae,06MINERPARA.Colastes braconius,1.36E+04
01PLANT.Poaceae,06MINERPARA.Coloneura (ate),7.26E+01
01PLANT.Poaceae,06MINERPARA.Cyrtogaster vulgaris,1.07E+05
01PLANT.Poaceae,06MINERPARA.Dacnusa adducta,2.19E+02
01PLANT.Poaceae,06MINERPARA.Dacnusa areolaris,1.03E+05
01PLANT.Poaceae,06MINERPARA.Dacnusa maculipes/confinis,2.17E+05
01PLANT.Poaceae,06MINERPARA.Dacnusa tarsalis,1.66E+04
01PLANT.Poaceae,06MINERPARA.Dapsilarthra rufiventris,2.45E+04
01PLANT.Poaceae,06MINERPARA.Diglyphus chabrias,2.19E+02
01PLANT.Poaceae,06MINERPARA.Diglyphus isaea,2.25E+05
01PLANT.Poaceae,06MINERPARA.Epiclerus temenus,1.45E+02
01PLANT.Poaceae,06MINERPARA.Eulophinae sp,2.50E+04
01PLANT.Poaceae,06MINERPARA.Exotela flavicoxa,8.29E+02
01PLANT.Poaceae,06MINERPARA.Forsterella sp,1.66E+03
01PLANT.Poaceae,06MINERPARA.Gelis anthracinus,1.54E+03
01PLANT.Poaceae,06MINERPARA.Hemiptarsenus dropion,3.14E+04
01PLANT.Poaceae,06MINERPARA.Hemiptarsenus fulvicollis,5.73E+04
01PLANT.Poaceae,06MINERPARA.Hemiptarsenus unguicellus,1.22E+05
01PLANT.Poaceae,06MINERPARA.Miscogaster maculata,2.71E+04
01PLANT.Poaceae,06MINERPARA.Opiinae sp,7.96E+03
01PLANT.Poaceae,06MINERPARA.Pediobius acantha,1.92E+03
01PLANT.Poaceae,06MINERPARA.Phaedrotoma exigua,8.84E+03
01PLANT.Poaceae,06MINERPARA.Phaedrotoma variegata,1.66E+03
01PLANT.Poaceae,06MINERPARA.Pnigalio soemius,8.31E+03
01PLANT.Poaceae,06MINERPARA.Seladerma diffine,5.16E+03
01PLANT.Poaceae,06MINERPARA.Seladerma tarsale,8.73E+04
01PLANT.Poaceae,06MINERPARA.Torymus sp,2.19E+02
01PLANT.Potentilla reptans,06MINERPARA.Bracon sp,1.66E+03
01PLANT.Potentilla reptans,06MINERPARA.Colastes sp aff braconius,1.66E+03
01PLANT.Prunus spinosa,06MINERPARA.Adelius sp,2.19E+02
01PLANT.Prunus spinosa,06MINERPARA.Apanteles circumscriptus,5.84E+02
01PLANT.Prunus spinosa,06MINERPARA.Bracon sp,2.19E+02
01PLANT.Prunus spinosa,06MINERPARA.Chrysocharis pentheus,5.81E+02
01PLANT.Prunus spinosa,06MINERPARA.Chrysocharis prodice,4.38E+02
01PLANT.Prunus spinosa,06MINERPARA.Cirrospilus vittatus,2.13E+03
01PLANT.Prunus spinosa,06MINERPARA.Diadegma crataegi,5.84E+02
01PLANT.Prunus spinosa,06MINERPARA.Eulophinae sp,9.68E+01
01PLANT.Prunus spinosa,06MINERPARA.Microgastrinae sp,2.92E+02
01PLANT.Prunus spinosa,06MINERPARA.Pnigalio soemius,2.03E+03
01PLANT.Pulicaria dysenterica,06MINERPARA.Bracon sp,6.16E+03
01PLANT.Pulicaria dysenterica,06MINERPARA.Diglyphus isaea,3.70E+04
01PLANT.Pulicaria dysenterica,06MINERPARA.Phaedrotoma exigua,6.16E+03
01PLANT.Pulicaria dysenterica,06MINERPARA.Seladerma diffine,6.16E+03
01PLANT.Quercus robur,06MINERPARA.Achrysocharoides butus,1.49E+05
01PLANT.Quercus robur,06MINERPARA.Achrysocharoides latreillei,2.71E+05
01PLANT.Quercus robur,06MINERPARA.Anagrus sp A,4.83E+04
